;;ÖÐR.;PUAN;GENEL;OK.BÝR.;ÞEHÝT VE;34 YAÞ;DEPREM-;;2024-YKS;2024-YKS;;AKREDÝ-
PROGRAM;PROGRAM ADI (2);SÜRE ;TÜRÜ;KONT. ;KONT. ;GAZÝ YAK.;ÜSTÜ KADIN;ZEDE ADAY;ÖZEL KOÞUL VE ;BAÞARI;EN KÜÇÜK;TYÇ;TASYON
KODU (1);;(3);(4);(5);(6);KONT. (7);KONT. (8);KONT. (9);AÇIKLAMALAR (10);SIRASI (11);PUAN (12);(13);(14)
;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
112650262;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;606702;324.88066;;
112690297;  Týbbi Dokümantasyon ve Sekreterlik (KKTC Uyruklu);2;TYT;1;;;;;5;;;;
112651612;  Týbbi Görüntüleme Teknikleri;2;TYT;40;1;;1;;;502396;337.11655;;
112651596;  Týbbi Laboratuvar Teknikleri;2;TYT;40;1;;1;;;608725;324.65797;;
112690289;  Týbbi ve Aromatik Bitkiler;2;TYT;30;1;;1;;;1602248;252.92145;;
112690311;  Týbbi Veri Ýþleme Teknikerliði;2;TYT;30;1;;1;;;...;----;;
112651551;  Yaþlý Bakýmý;2;TYT;60;2;;2;;;1015701;290.10693;;
;Bolvadin Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
112690222;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;684824;317.02945;;
112690318;  Týbbi Veri Ýþleme Teknikerliði;2;TYT;30;1;;1;;;...;----;;
;Þuhut Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
112690220;  Ýlk ve Acil Yardým;2;TYT;30;1;;1;;;546350;331.66534;;
112690244;  Patoloji Laboratuvar Teknikleri;2;TYT;30;1;;1;;;765388;309.68129;;
112690223;  Týbbi Laboratuvar Teknikleri;2;TYT;40;1;;1;;;669336;318.53537;;
;AÐRI ÝBRAHÝM ÇEÇEN ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;
;Doðubayazýt Ahmed-i Hani Meslek Yüksekokulu;;;;;;;;;;;;
100550243;  Aþçýlýk;2;TYT;50;2;;2;;;1581146;254.16297;;
100590081;  Çocuk Geliþimi;2;TYT;35;1;;1;;;1405940;264.59917;;
